DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2020-01-31 14:17:00,2,51.49,4.57,0,32,1,49,701.04
2020-01-31 14:17:05,2,8.04,.60,0,32,1,5,11.27
2020-01-31 14:17:18,2,46.67,5.79,0,32,1,13,168.55
2020-01-31 14:17:20,2,40.23,6.09,0,32,1,2,22.25
2020-01-31 14:17:31,2,45.06,3.35,0,32,1,11,137.76
2020-01-31 14:18:14,2,40.23,6.40,0,32,1,43,480.66
2020-01-31 14:18:43,2,41.84,4.26,0,32,1,29,337.10
2020-01-31 14:21:32,2,46.67,3.96,0,32,1,169,2190.90
2020-01-31 14:21:42,2,43.45,4.87,0,32,1,10,120.70
2020-01-31 14:21:52,2,54.71,5.79,0,32,1,10,152.09
2020-01-31 14:22:10,2,45.06,4.87,0,32,1,18,225.24
2020-01-31 14:22:17,2,62.76,5.48,0,32,1,7,121.92
2020-01-31 14:22:21,2,49.88,4.26,0,32,1,4,55.47
2020-01-31 14:23:10,2,53.10,4.57,0,32,1,49,722.98
2020-01-31 14:23:43,2,43.45,3.65,0,32,1,33,398.37
2020-01-31 14:23:49,2,43.45,5.18,0,32,1,6,72.54
2020-01-31 14:25:08,2,40.23,3.96,0,32,1,79,883.00
2020-01-31 14:25:24,2,43.45,3.65,0,32,1,16,193.24
2020-01-31 14:26:08,2,49.88,5.48,0,32,1,44,609.90
2020-01-31 14:26:36,2,65.98,4.87,0,32,1,28,513.28
2020-01-31 14:27:16,128,30.57,0,0,32,0,40,339.85
2020-01-31 14:27:33,128,1.60,0,0,32,0,17,7.62
2020-01-31 14:27:44,2,37.01,51.81,0,32,11,11,113.08
2020-01-31 14:28:51,2,54.71,5.18,0,32,1,67,1018.33
2020-01-31 14:30:16,2,38.62,4.87,0,32,1,85,911.96
2020-01-31 14:30:18,2,43.45,6.40,0,32,1,2,24.07
2020-01-31 14:30:27,2,45.06,3.96,0,32,1,9,112.77
2020-01-31 14:30:45,2,46.67,5.48,0,32,1,18,233.47
2020-01-31 14:30:48,2,57.93,4.87,0,32,1,3,48.15
2020-01-31 14:30:53,2,82.07,10.97,0,32,1,5,113.99
2020-01-31 14:30:58,2,43.45,5.18,0,32,1,5,60.35
2020-01-31 14:31:25,2,35.40,4.26,0,32,1,27,265.48
2020-01-31 14:31:39,2,48.28,6.09,0,32,1,14,187.75
2020-01-31 14:31:59,2,48.28,8.53,0,32,1,20,268.22
2020-01-31 14:32:33,2,9.65,2.43,0,32,2,34,91.13
2020-01-31 14:32:51,2,57.93,4.57,0,32,1,18,289.56
2020-01-31 14:32:57,2,35.40,3.65,0,32,1,6,59.13
2020-01-31 14:33:19,2,40.23,4.26,0,32,1,22,245.97
2020-01-31 14:33:36,2,41.84,4.87,0,32,1,17,197.51
2020-01-31 14:33:38,2,43.45,4.87,0,32,1,2,24.07
2020-01-31 14:34:06,2,28.96,5.18,0,32,1,28,225.24
2020-01-31 14:34:20,2,35.40,4.26,0,32,1,14,137.76
2020-01-31 14:34:32,2,37.01,3.65,0,32,1,12,123.44
2020-01-31 14:34:35,2,40.23,7.01,0,32,1,3,33.52
2020-01-31 14:34:45,2,46.67,4.87,0,32,1,10,129.54
2020-01-31 14:35:10,2,35.40,4.26,0,32,1,25,245.97
2020-01-31 14:35:12,2,35.40,4.57,0,32,1,2,19.81
2020-01-31 14:35:36,2,38.62,4.87,0,32,1,24,257.55
2020-01-31 14:36:06,2,35.40,1.82,0,32,0,30,295.04
2020-01-31 14:36:29,2,43.45,4.87,0,32,1,23,277.67
2020-01-31 14:36:52,2,46.67,4.57,0,32,1,23,298.09
2020-01-31 14:37:25,128,268.76,77.72,0,32,2,33,2463.69
2020-01-31 14:37:48,2,40.23,7.62,0,32,1,23,256.94
2020-01-31 14:38:12,2,45.06,4.57,0,32,1,24,300.53
2020-01-31 14:38:14,2,43.45,3.65,0,32,1,2,24.07
2020-01-31 14:38:31,2,30.57,3.65,0,32,1,17,144.47
2020-01-31 14:38:33,2,40.23,5.18,0,32,1,2,22.25
2020-01-31 14:39:24,2,56.32,4.57,0,32,1,51,797.96
2020-01-31 14:39:52,2,49.88,5.79,0,32,1,28,388.01
2020-01-31 14:41:35,2,51.49,4.87,0,32,1,103,1473.40
2020-01-31 14:42:09,2,38.62,3.96,0,32,1,34,364.84
2020-01-31 14:42:19,2,46.67,4.57,0,32,1,10,129.54
2020-01-31 14:42:34,2,33.79,4.26,0,32,1,15,140.81
2020-01-31 14:42:35,2,33.79,6.70,0,32,2,1,9.44
2020-01-31 14:43:27,2,38.62,3.04,0,32,1,52,557.78
2020-01-31 14:43:39,2,49.88,4.57,0,32,1,12,166.42
2020-01-31 14:43:53,2,30.57,5.48,0,32,1,14,118.87
2020-01-31 14:43:55,2,33.79,.91,0,32,0,2,18.89
2020-01-31 14:43:57,2,37.01,5.48,0,32,1,2,20.42
2020-01-31 14:44:01,2,33.79,4.87,0,32,1,4,37.49
2020-01-31 14:44:11,2,48.28,4.87,0,32,1,10,134.11
2020-01-31 14:44:15,2,40.23,5.48,0,32,1,4,44.80
2020-01-31 14:44:25,2,41.84,5.48,0,32,1,10,116.12
2020-01-31 14:44:37,2,30.57,13.41,0,32,3,12,101.80
2020-01-31 14:44:42,2,25.74,4.87,0,32,1,5,35.66
2020-01-31 14:46:00,2,56.32,4.57,0,32,1,78,1220.41
2020-01-31 14:46:22,2,41.84,4.26,0,32,1,22,255.72
